Year,UnqID,Date,Weather,Time,Day,Round,Dir,Path,Mode,Count
2022 W1 spring,ML2041,01/07/2022,n/a,11:15:00,Weekday,B,Eastbound,n/a,Cycles,25
2022 W1 spring,ML2041,01/07/2022,n/a,11:30:00,Weekday,B,Eastbound,n/a,Cycles,24
2022 W1 spring,ML2041,01/07/2022,n/a,11:45:00,Weekday,B,Eastbound,n/a,Cycles,21
2022 W1 spring,ML2041,01/07/2022,n/a,12:00:00,Weekday,B,Eastbound,n/a,Cycles,22
2022 W1 spring,ML2041,01/07/2022,n/a,12:15:00,Weekday,B,Eastbound,n/a,Cycles,36
2022 W1 spring,ML2041,01/07/2022,n/a,12:30:00,Weekday,B,Eastbound,n/a,Cycles,26
2022 W1 spring,ML2041,01/07/2022,n/a,12:45:00,Weekday,B,Eastbound,n/a,Cycles,43
2022 W1 spring,ML2041,01/07/2022,n/a,13:00:00,Weekday,B,Eastbound,n/a,Cycles,47
2022 W1 spring,ML2041,01/07/2022,n/a,13:15:00,Weekday,B,Eastbound,n/a,Cycles,22
2022 W1 spring,ML2041,01/07/2022,n/a,13:30:00,Weekday,B,Eastbound,n/a,Cycles,31
2022 W1 spring,ML2041,01/07/2022,n/a,13:45:00,Weekday,B,Eastbound,n/a,Cycles,31
2022 W1 spring,ML2041,01/07/2022,n/a,14:00:00,Weekday,B,Eastbound,n/a,Cycles,26
2022 W1 spring,ML2041,01/07/2022,n/a,14:15:00,Weekday,B,Eastbound,n/a,Cycles,21
2022 W1 spring,ML2041,01/07/2022,n/a,14:30:00,Weekday,B,Eastbound,n/a,Cycles,34
2022 W1 spring,ML2041,01/07/2022,n/a,14:45:00,Weekday,B,Eastbound,n/a,Cycles,38
2022 W1 spring,ML2041,01/07/2022,n/a,15:00:00,Weekday,B,Eastbound,n/a,Cycles,37
2022 W1 spring,ML2041,01/07/2022,n/a,15:15:00,Weekday,B,Eastbound,n/a,Cycles,34
2022 W1 spring,ML2041,01/07/2022,n/a,15:30:00,Weekday,B,Eastbound,n/a,Cycles,36
2022 W1 spring,ML2041,01/07/2022,n/a,15:45:00,Weekday,B,Eastbound,n/a,Cycles,47
2022 W1 spring,ML2041,01/07/2022,n/a,16:00:00,Weekday,B,Eastbound,n/a,Cycles,39
2022 W1 spring,ML2041,01/07/2022,n/a,16:15:00,Weekday,B,Eastbound,n/a,Cycles,46
2022 W1 spring,ML2041,01/07/2022,n/a,16:30:00,Weekday,B,Eastbound,n/a,Cycles,47
2022 W1 spring,ML2041,01/07/2022,n/a,16:45:00,Weekday,B,Eastbound,n/a,Cycles,60
