Date,Time,predict_Count
03/05/2023,06:30:00,1.101336199410417
03/05/2023,06:45:00,1.091253253637751
03/05/2023,07:00:00,1.1988570548344037
03/05/2023,07:15:00,1.2582587846969393
03/05/2023,07:30:00,1.236250821452322
03/05/2023,07:45:00,1.3195854077179943
03/05/2023,08:00:00,1.2677839977414749
03/05/2023,08:15:00,1.2320900648430873
03/05/2023,08:30:00,1.1504388507841956
03/05/2023,08:45:00,1.0690319607253866
03/05/2023,09:00:00,1.2522515761401494
03/05/2023,09:15:00,1.161002347125838
03/05/2023,09:30:00,1.2012023002069403
03/05/2023,09:45:00,1.1241101428861138
25/04/2023,10:00:00,1.2971297128365924
25/04/2023,10:15:00,1.0586733834622721
25/04/2023,10:30:00,1.1076178249210482
25/04/2023,10:45:00,1.0551564365060533
